timestamp,frame,object_id,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h
0.05,1,0,855,870,751,852,208,37
0.05,1,1,1266,827,1042,735,448,185
0.05,1,2,1280,645,1084,582,393,126
0.05,1,3,1133,407,1090,271,86,273
0.05,1,4,1333,405,1160,251,346,308
0.31,2,0,855,870,751,852,208,37
0.31,2,1,1243,823,1020,730,447,186
0.31,2,2,1256,642,1061,577,391,130
0.31,2,3,1109,409,1067,278,85,263
0.31,2,4,1314,403,1143,249,342,308
0.37,3,0,855,870,751,852,208,37
0.37,3,1,1233,822,1011,729,444,186
0.37,3,2,1246,642,1051,576,390,132
0.37,3,3,1098,409,1057,279,82,261
0.37,3,4,1306,403,1135,250,342,306
0.41,4,0,806,868,751,850,111,37
0.41,4,1,1207,816,996,725,422,183
0.41,4,2,1220,637,1023,574,394,126
0.41,4,3,1067,412,1032,286,70,252
0.41,4,4,1283,399,1115,246,337,307
0.41,4,5,913,869,868,850,91,39
0.45,5,0,806,868,751,850,111,37
0.45,5,1,1196,808,990,719,412,179
0.45,5,2,1205,630,1014,571,382,118
0.45,5,3,1049,412,1016,287,66,251
0.45,5,4,1268,396,1100,246,336,301
0.45,5,5,913,869,868,850,91,39
0.49,6,0,855,870,751,850,208,40
0.49,6,1,1191,802,988,714,407,177
0.49,6,2,1197,626,1007,568,380,116
0.49,6,3,1041,411,1010,287,62,249
0.49,6,4,1259,395,1091,247,337,297
0.49,6,5,913,869,751,850,208,40
0.52,7,0,807,868,751,850,112,37
0.52,7,1,1178,786,982,700,393,172
0.52,7,2,1175,615,989,558,373,115
0.52,7,3,1021,408,993,287,56,243
0.52,7,4,1204,390,1074,245,261,290
0.52,7,5,912,870,865,850,94,40
0.52,7,6,1376,445,1344,338,64,214
0.55,8,0,807,868,751,850,112,37
0.55,8,1,1171,776,979,692,384,169
0.55,8,2,1168,609,984,552,368,115
0.55,8,3,1008,407,980,288,57,239
0.55,8,4,1193,387,1065,245,256,284
0.55,8,5,912,870,865,850,94,40
0.55,8,6,1362,439,1330,331,65,217
0.58,9,0,807,868,751,850,112,37
0.58,9,1,1167,771,977,688,380,167
0.58,9,2,1163,607,982,549,363,117
0.58,9,3,1003,407,975,289,56,237
0.58,9,4,1186,384,1060,243,253,283
0.58,9,5,912,870,865,850,94,40
0.58,9,6,1356,437,1323,330,66,214
0.62,10,0,807,868,751,850,112,37
0.62,10,1,1160,762,975,682,370,160
0.62,10,2,1152,603,976,546,353,115
0.62,10,3,989,410,962,295,55,231
0.62,10,4,1170,385,1044,249,252,272
0.62,10,5,912,870,865,850,94,40
0.62,10,6,1339,433,1306,325,66,216
0.65,11,0,854,869,750,850,209,39
0.65,11,1,1156,759,974,681,364,157
0.65,11,2,1146,604,972,547,349,115
0.65,11,3,986,417,957,303,58,228
0.65,11,4,1161,389,1036,256,250,266
0.65,11,5,912,870,750,850,209,39
0.65,11,6,1330,433,1297,326,66,214
0.69,12,0,854,869,750,850,209,39
